variable,family,sign,adstock_decay,coef_lower,coef_upper,role,scale
Price per Volume,Price,negative,,,,auto,1.0
Total Category Price Per Volume,Category Price,positive,,,,auto,1.0
Category P Price Per Volume,Category Price,positive,,,,auto,1.0
ACV Weighted Distribution,Distribution,positive,,,,force,1.0
Avg Weekly Items per Store Selling,Distribution,positive,,,,auto,1.0
Total Points of Distribution,Distribution,positive,,,,auto,1.0
Weighted Weeks Price Reductions Only,Trade,positive,,,,auto,1.0
Weighted Weeks Feature Only,Trade,positive,,,,auto,1.0
Weighted Weeks Display Only,Trade,positive,,,,auto,1.0
Weighted Weeks Special Pack Only,Trade,positive,,,,auto,1.0
Weighted Weeks Feature and Display,Trade,positive,,,,auto,1.0
Brand 1_Meta_Spend,Media,positive,0.5,,,auto,1.0
Brand 1_TikTok_Spend,Media,positive,0.5,,,auto,1.0
Brand 1_Google_Ads_Spend,Media,positive,0.2,,,auto,1.0
Brand 1_Walmart_Spend,Media,positive,0.5,,,auto,1.0
Brand 1_Amazon_Spend,Media,positive,0.5,,,auto,1.0
Brand 1_Instacart_Spend,Media,positive,0.5,,,auto,1.0
Brand 1_Doordash_Spend,Media,positive,0.5,,,auto,1.0
Brand 1_Absco_Spend,Media,positive,0.5,,,auto,1.0
Brand 1_Ahold_Spend,Media,positive,0.5,,,auto,1.0
Brand 1_Kroger_Spend,Media,positive,0.5,,,auto,1.0
Brand 1_Instacart_Display_Spend,Media,positive,0.5,,,auto,1.0
Brand 1_Instacart_CTV_Spend,Media,positive,0.7,,,auto,1.0
Seasonality_Index,Seasonality,positive,,,,auto,1.0
Trend,Trend,unconstrained,,,,auto,1.0
Unemployment_Rate,Macro,unconstrained,,,,auto,1.0
Median_CPI,Macro,unconstrained,,,,auto,1.0
CFNAI,Macro,unconstrained,,,,auto,1.0
Gas_Price,Macro,unconstrained,,,,auto,1.0
UMCSENT,Macro,unconstrained,,,,auto,1.0
T5YIE,Macro,unconstrained,,,,auto,1.0
PSAVERT,Macro,unconstrained,,,,auto,1.0
PCEC96,Macro,unconstrained,,,,auto,1.0
SNAP_Participants,Macro,unconstrained,,,,auto,1000.0
Fedfunds,Macro,unconstrained,,,,auto,1.0
Unempclaims,Macro,unconstrained,,,,auto,1.0
Retail_Sales,Macro,unconstrained,,,,auto,1.0
_C_Competitor6__Avg Weekly Items per Store Selling,Competitive,negative,,,,auto,1.0
_C_Competitor6__ACV Weighted Distribution,Competitive,negative,,,,auto,1.0
_C_Competitor6__Weighted Weeks Price Reductions Only,Competitive,negative,,,,auto,1.0
_C_Competitor6__Weighted Weeks Feature Only,Competitive,negative,,,,auto,1.0
_C_Competitor6__Weighted Weeks Display Only,Competitive,negative,,,,auto,1.0
_C_Competitor6__Weighted Weeks Special Pack Only,Competitive,negative,,,,auto,1.0
_C_Competitor6__Weighted Weeks Feature and Display,Competitive,negative,,,,auto,1.0
_C_Competitor1__Avg Weekly Items per Store Selling,Competitive,negative,,,,auto,1.0
_C_Competitor1__ACV Weighted Distribution,Competitive,negative,,,,auto,1.0
_C_Competitor1__Weighted Weeks Price Reductions Only,Competitive,negative,,,,auto,1.0
_C_Competitor1__Weighted Weeks Feature Only,Competitive,negative,,,,auto,1.0
_C_Competitor1__Weighted Weeks Display Only,Competitive,negative,,,,auto,1.0
_C_Competitor1__Weighted Weeks Special Pack Only,Competitive,negative,,,,auto,1.0
_C_Competitor1__Weighted Weeks Feature and Display,Competitive,negative,,,,auto,1.0
_C_Competitor2 __Avg Weekly Items per Store Selling,Competitive,negative,,,,auto,1.0
_C_Competitor2 __ACV Weighted Distribution,Competitive,negative,,,,auto,1.0
_C_Competitor2 __Weighted Weeks Price Reductions Only,Competitive,negative,,,,auto,1.0
_C_Competitor2 __Weighted Weeks Feature Only,Competitive,negative,,,,auto,1.0
_C_Competitor2 __Weighted Weeks Display Only,Competitive,negative,,,,auto,1.0
_C_Competitor2 __Weighted Weeks Special Pack Only,Competitive,negative,,,,auto,1.0
_C_Competitor2 __Weighted Weeks Feature and Display,Competitive,negative,,,,auto,1.0
_C_Competitor3__Avg Weekly Items per Store Selling,Competitive,negative,,,,auto,1.0
_C_Competitor3__ACV Weighted Distribution,Competitive,negative,,,,auto,1.0
_C_Competitor3__Weighted Weeks Price Reductions Only,Competitive,negative,,,,auto,1.0
_C_Competitor3__Weighted Weeks Feature Only,Competitive,negative,,,,auto,1.0
_C_Competitor3__Weighted Weeks Display Only,Competitive,negative,,,,auto,1.0
_C_Competitor3__Weighted Weeks Special Pack Only,Competitive,negative,,,,auto,1.0
_C_Competitor3__Weighted Weeks Feature and Display,Competitive,negative,,,,auto,1.0
_C_Competitor4__Avg Weekly Items per Store Selling,Competitive,negative,,,,auto,1.0
_C_Competitor4__ACV Weighted Distribution,Competitive,negative,,,,auto,1.0
_C_Competitor4__Weighted Weeks Price Reductions Only,Competitive,negative,,,,auto,1.0
_C_Competitor4__Weighted Weeks Feature Only,Competitive,negative,,,,auto,1.0
_C_Competitor4__Weighted Weeks Display Only,Competitive,negative,,,,auto,1.0
_C_Competitor4__Weighted Weeks Special Pack Only,Competitive,negative,,,,auto,1.0
_C_Competitor4__Weighted Weeks Feature and Display,Competitive,negative,,,,auto,1.0
_C_Competitor5__Avg Weekly Items per Store Selling,Competitive,negative,,,,auto,1.0
_C_Competitor5__ACV Weighted Distribution,Competitive,negative,,,,auto,1.0
_C_Competitor5__Weighted Weeks Price Reductions Only,Competitive,negative,,,,auto,1.0
_C_Competitor5__Weighted Weeks Feature Only,Competitive,negative,,,,auto,1.0
_C_Competitor5__Weighted Weeks Display Only,Competitive,negative,,,,auto,1.0
_C_Competitor5__Weighted Weeks Special Pack Only,Competitive,negative,,,,auto,1.0
_C_Competitor5__Weighted Weeks Feature and Display,Competitive,negative,,,,auto,1.0
